,Train,Test,Train_Score
0,-30614.7236002843,-17833.0006697384,-2002.18831263291
1,176674.187439932,-5198.95316979295,-1776.69489039989
2,245065.715332006,-888.983078912046,-1299.40594851551
3,47578.3350642905,-3490.461294967,-1749.0005199167
4,365135.942887502,-6787.79593104307,-888.300664319668
5,410321.019355335,-2605.20618807402,-862.044913247256
6,948799.396267036,23679.3561631388,-896.036378350715
7,339425.974196681,9693.50941394639,-528.349446372211
8,1144312.76332043,-9986.17549465384,-349.455174209902
9,1988994.64140212,1428.80364079529,87.4363745237562
10,8365140.63441059,-20501.1307383789,1300.98297310797
11,5971764.34927267,-1434.97104113671,1023.04774136266
12,4603315.93914205,13398.1965203518,1424.82581911161
13,4399994.51724783,-4580.64513651241,1066.26587468911
14,2321570.74025066,6084.80448233777,274.511066382867
15,5553371.70448947,18165.0497263397,453.306845092338
16,4829632.53822164,765.053220040354,1542.38923334383
17,1563442.43047047,2287.54234149854,1566.43242079799
18,7953846.90601126,11068.5221058818,2092.12036542441
19,12014339.1036356,15597.5750583108,2457.07680523633
20,11629688.6037066,1691.99060826912,2127.31826150169
21,10884818.0512227,14975.7942379401,2109.97151586441
22,6819243.17179079,14047.8597041117,1211.6869109422
23,12030133.4537688,7980.36755869025,1962.55693089964
24,9483343.27259982,29349.8929391713,1654.57738464509
25,7328545.083549,4106.20073319085,1402.31481155548
26,14065785.0393328,3657.36317415209,2925.58003539748
27,3605761.47528629,3490.17141260111,272.632874971585
28,2399078.27530432,-4308.35184098722,269.038062352253
29,3923470.20451972,-9128.32577909905,396.526769782539
