,time,open,high,low,close,tick_volume,sma,sd,lb,ub,candle_type
38,2022-02-24,1.13023,1.13086,1.11063,1.11919,171175,1.1337645,0.008437758791352955,1.116888982417294,1.150640017582706,bullish
39,2022-02-25,1.11908,1.12735,1.11659,1.12716,113512,1.134388,0.007343910904172384,1.1197001781916551,1.1490758218083448,bearish
40,2022-02-28,1.11295,1.12464,1.11245,1.12178,138468,1.1343105000000002,0.007473777650453754,1.1193629446990927,1.1492580553009077,bearish
41,2022-03-01,1.12177,1.12331,1.10897,1.11229,114181,1.1335659999999999,0.008838499753619842,1.1158890004927602,1.1512429995072395,bullish
42,2022-03-02,1.11248,1.1143399999999999,1.10574,1.11184,129648,1.1326405,0.010075525048353618,1.1124894499032927,1.1527915500967072,bullish
43,2022-03-03,1.1116,1.11205,1.10332,1.10659,99725,1.1307740000000002,0.01126366510417229,1.1082466697916555,1.1533013302083448,bullish
44,2022-03-04,1.10651,1.10679,1.08852,1.09305,129366,1.1281694999999998,0.013556087572126334,1.1010573248557471,1.1552816751442525,bullish
45,2022-03-07,1.09255,1.09324,1.0806,1.08533,166436,1.1252265000000001,0.016054060078372685,1.0931183798432547,1.1573346201567456,bullish
46,2022-03-08,1.08511,1.09583,1.08471,1.0901399999999999,158841,1.122652,0.01736049768871849,1.087931004622563,1.157372995377437,bearish
47,2022-03-09,1.0896,1.10961,1.08896,1.1075,116644,1.1209105000000001,0.017026378443307805,1.0868577431133846,1.1549632568866157,bearish
48,2022-03-10,1.1072899999999999,1.11213,1.09758,1.09859,125689,1.1187025,0.0169080942544034,1.084886311491193,1.1525186885088068,bullish
49,2022-03-11,1.09845,1.10434,1.09021,1.09137,113278,1.1165325000000001,0.017511668854013628,1.0815091622919728,1.1515558377080275,bullish
50,2022-03-14,1.09155,1.09938,1.09004,1.09447,103181,1.1147269999999998,0.01784544379416006,1.0790361124116796,1.15041788758832,bearish
51,2022-03-15,1.09416,1.102,1.0926,1.09489,112133,1.1126805000000002,0.017644987502046246,1.0773905249959077,1.1479704750040927,bearish
52,2022-03-16,1.09491,1.1047,1.09491,1.1031,128099,1.1109745,0.01677554030034268,1.0774234193993146,1.1445255806006853,bearish
53,2022-03-17,1.10305,1.11376,1.10071,1.10901,85724,1.1096210000000002,0.015700972447255445,1.0782190551054893,1.141022944894511,bearish
54,2022-03-18,1.1089,1.11186,1.10031,1.10503,91467,1.1082589999999999,0.01478777834635933,1.0786834433072812,1.1378345566927186,bullish
