Actions,Capital,ETH-USD
-1,726441.808341215,198.177001953125
1,726398.221832715,185.423004150391
-1,748599.573292939,183.679000854492
1,748554.657318541,212.669006347656
0,756607.07235002,209.813995361328
-1,754803.228826986,222.802993774414
1,754757.940633256,221.582000732422
0,764034.434058328,197.095001220703
1,763945.560742591,209.47200012207
1,783476.157522048,210.287994384766
-1,822353.90036295,225.251007080078
1,822304.559128929,247.337005615234
-1,824936.892604992,240.992004394531
-1,824936.892604992,244.843994140625
1,824887.396391436,228.326995849609
1,822841.41207658,218.647003173828
-1,840119.257349534,215.440002441406
1,840068.850194093,229.041000366211
-1,847042.254878597,221.705001831055
-1,847042.254878597,231.328994750977
-1,847042.254878597,233.220001220703
-1,847042.254878597,231.100006103516
1,846991.432343304,226.406997680664
-1,848319.480469216,220.445999145508
-1,848319.480469216,222.266998291016
-1,848319.480469216,227.552001953125
-1,848319.480469216,225.434997558594
0,848319.480469216,226.509002685547
-1,848319.480469216,229.710006713867
-1,848319.480469216,227.615005493164
1,848268.581300388,225.610000610352
1,854697.367542374,188.707000732422
-1,859632.431317426,196.363998413086
1,859580.853371547,199.690994262695
-1,871865.848720362,195.270004272461
-1,871865.848720362,209.628005981445
-1,871865.848720362,210.216995239258
-1,871865.848720362,207.404006958008
-1,871865.848720362,203.25700378418
-1,871865.848720362,203.514999389648
-1,871865.848720362,205.389999389648
0,871865.848720362,205.17399597168
-1,871865.848720362,204.016006469727
0,871865.848720362,204.126998901367
1,871813.536769439,203.86799621582
0,872390.554066419,202.335998535156
-1,873095.679036619,203.356002807617
0,873095.679036619,204.509994506836
-1,873095.679036619,205.17399597168
-1,873095.679036619,197.203002929688
0,873095.679036619,197.649002075195
1,873043.293295877,197.537002563477
0,874643.677904991,198.981994628906
1,874154.802833568,200.740005493164
0,885753.314792241,200.158004760742
1,888150.234903746,207.100006103516
-1,907899.387345932,209.473999023437
-1,907899.387345932,218.899002075195
0,907899.387345932,217.326995849609
0,907899.387345932,211.986999511719
1,907844.913382691,209.975006103516
1,906782.380306149,212.47900390625
1,905326.493334379,211.513000488281
-1,897807.130553259,210.149002075195
1,897753.262125426,206.533996582031
-1,897168.414645668,181.899002075195
-1,897168.414645668,180.865005493164
0,897168.414645668,175.360000610352
-1,897168.414645668,174.175003051758
1,897114.584540789,177.179000854492
1,874421.622176932,148.811004638672
-1,889076.387496267,131.141998291016
-1,889076.387496267,136.811004638672
-1,889076.387496267,126.418998718262
-1,889076.387496267,123.304000854492
-1,889076.387496267,113.125999450684
1,889023.042913018,116.343002319336
1,891728.802956363,107.91300201416
-1,928186.974743122,110.197998046875
-1,928186.974743122,122.721549987793
1,928131.283524637,117.728096008301
-1,937091.538489291,113.397758483887
-1,937091.538489291,118.26815032959
1,937035.312996982,116.378761291504
-1,939252.815002204,108.803161621094
-1,939252.815002204,110.335517883301
1,939196.459833304,102.450592041016
-1,942334.871619996,91.6498336791992
-1,942334.871619996,93.4100799560547
-1,942334.871619996,92.0354309082031
-1,942334.871619996,94.9921722412109
1,942278.331527699,91.5789337158203
-1,945769.23476417,88.6107025146484
-1,945769.23476417,90.6552276611328
1,945712.488610084,86.6303558349609
-1,946009.709579658,84.2796936035156
1,945952.948997084,84.4694061279297
1,967806.949374309,85.3821105957031
1,990542.972353182,95.108039855957
1,991295.475468268,101.68384552002
-1,1080424.09818483,101.090438842773
0,1080424.09818483,115.835403442383
0,1080424.09818483,109.455940246582
1,1080359.27273894,117.273895263672
1,1095956.08653521,130.641662597656
1,1065936.44341019,140.997589111328
-1,1073918.56392238,129.888824462891
1,1073854.12880854,131.923583984375
0,1112740.7380218,116.89820098877
0,1113424.8763812,138.468780517578
-1,1116739.70036897,137.627456665039
1,1116672.69598695,140.031066894531
1,1129093.58435782,133.418151855469
-1,1170962.19856502,141.519515991211
1,1170891.9408331,155.196044921875
1,1179386.69208337,148.912887573242
-1,1182325.78876171,154.337417602539
-1,1182325.78876171,155.804229736328
-1,1182325.78876171,157.809494018555
-1,1182325.78876171,151.967544555664
-1,1182325.78876171,150.5546875
-1,1182325.78876171,150.843505859375
-1,1182325.78876171,127.81396484375
-1,1182325.78876171,127.52808380127
1,1182254.84921438,125.9072265625
-1,1206867.24847908,116.979095458984
1,1206794.83644417,129.17268371582
1,1209731.30419466,121.809242248535
-1,1210421.05786974,123.573539733887
1,1210348.43260626,123.654655456543
-1,1217365.69056985,121.61442565918
-1,1217365.69056985,124.632400512695
1,1217292.64862842,119.636459350586
-1,1220595.31107538,117.11075592041
-1,1220595.31107538,118.713813781738
-1,1220595.31107538,117.462783813477
-1,1220595.31107538,117.594955444336
-1,1220595.31107538,116.373527526855
-1,1220595.31107538,116.510314941406
-1,1220595.31107538,113.285232543945
1,1220522.07535671,106.721954345703
1,1228111.60142614,105.407203674316
-1,1220533.89400889,108.900772094727
1,1220460.66197525,107.147682189941
-1,1226856.82704565,107.466415405273
-1,1226856.82704565,110.49031829834
-1,1226856.82704565,107.625823974609
-1,1226856.82704565,107.62816619873
-1,1226856.82704565,107.569305419922
1,1226783.21563603,104.835777282715
-1,1261353.69632104,104.645050048828
1,1261278.01509926,119.214111328125
-1,1272629.35388366,119.408966064453
1,1272552.99612243,124.871536254883
1,1275164.1796838,121.178573608398
0,1275232.18023155,122.544288635254
0,1270858.29609166,122.416984558105
1,1273341.69626345,121.45369720459
0,1279436.08911261,122.396453857422
1,1331854.82010504,123.182083129883
1,1407661.8670723,133.03254699707
0,1402857.3123574,146.398818969727
1,1431070.63482712,145.172729492187
-1,1405948.38892095,149.352325439453
1,1405864.03201761,146.073257446289
-1,1424158.43336703,148.676620483398
1,1424072.98386102,158.902404785156
-1,1432394.49470369,135.499725341797
0,1432394.49470369,139.646087646484
1,1432308.551034,138.029571533203
0,1433699.89282113,136.283081054688
-1,1432976.8648584,136.836242675781
-1,1432976.8648584,136.350082397461
-1,1432976.8648584,134.786117553711
1,1432890.88624651,132.15788269043
-1,1455422.22366146,127.792953491211
-1,1455422.22366146,137.958740234375
-1,1455422.22366146,138.9423828125
1,1455334.89832804,138.31135559082
1,1461377.24438397,134.887557983398
-1,1456742.65842436,138.18049621582
-1,1456742.65842436,136.849533081055
-1,1456742.65842436,134.012847900391
1,1456655.25386485,134.611770629883
1,1457565.6131671,133.203903198242
0,1473363.05778392,133.567153930664
0,1491856.40439841,137.911956787109
-1,1482270.09724726,142.238296508789
-1,1482270.09724726,140.104858398438
1,1482181.16104143,139.254013061523
-1,1482533.71356814,140.484710693359
-1,1482533.71356814,140.478485107422
1,1482444.76154532,136.562255859375
1,1484660.61676187,137.03987121582
-1,1479804.00899591,138.315353393555
-1,1479804.00899591,137.081359863281
1,1479715.22075537,135.054321289063
1,1491717.9938394,135.454360961914
1,1485589.67838304,141.005844116211
1,1501630.65688589,139.343200683594
1,1499050.76738688,142.359146118164
1,1494892.19321523,142.139221191406
1,1497342.52074687,141.465484619141
0,1682976.4375876,141.83952331543
-1,1661617.02031396,164.008636474609
1,1661517.32329274,161.431762695313
1,1677123.21436361,158.020004272461
1,1678662.48455186,165.511245727539
1,1721439.42669125,165.977249145508
0,1755916.72695706,174.449676513672
1,1730838.59898606,180.222122192383
-1,1739076.41802904,176.067840576172
-1,1739076.41802904,177.342758178711
0,1739076.41802904,165.335205078125
-1,1739076.41802904,164.622848510742
0,1739076.41802904,164.476089477539
1,1738972.07344395,167.897476196289
0,1752098.47929674,161.526550292969
-1,1750542.59891971,167.553695678711
0,1750542.59891971,166.913208007813
1,1750437.56636377,173.787887573242
0,1750628.92544361,173.718811035156
0,1743162.03479731,173.715408325195
1,1746658.69292866,170.017486572266
-1,1745103.19785901,172.007217407227
-1,1745103.19785901,171.349533081055
0,1745103.19785901,165.914733886719
1,1744998.49166714,154.579437255859
1,1749574.11836788,156.270858764648
0,1745210.59588405,158.499771118164
1,1736596.39551854,157.291061401367
0,1774691.47168378,155.172775268555
0,1767368.23800352,162.186553955078
1,1774138.59142478,160.853576660156
1,1812187.66679803,162.075164794922
-1,1783194.87978411,167.887222290039
1,1783087.88809132,164.015258789063
1,1803075.56961973,163.337982177734
1,1792064.74791838,172.427276611328
1,1797961.10297407,169.904205322266
1,1793802.72941121,170.951873779297
1,1814034.317574,170.312973022461
-1,1978614.03828197,173.139312744141
1,1978495.32143967,194.163024902344
1,1998507.25600719,187.417922973633
1,2073948.18098827,196.73828125
1,2220476.86143854,217.010116577148
-1,2316647.68747906,246.941955566406
0,2316647.68747906,263.848358154297
1,2316508.68861781,243.91130065918
1,2369108.64888487,234.449462890625
0,2337380.53756186,261.267486572266
-1,2348494.24558897,251.647842407227
1,2348353.33593423,254.995315551758
0,2350925.77647671,244.665115356445
1,2357424.70293758,245.987091064453
-1,2365215.30044215,249.694046020508
1,2365073.38752412,251.724792480469
1,2375217.5412446,267.141876220703
0,2372021.26942398,272.590484619141
-1,2364461.13990236,271.779052734375
1,2364319.27223397,269.551879882812
1,2386848.60717084,256.015258789062
1,2377887.78358607,268.433349609375
-1,2399150.54690896,265.512725830078
1,2399006.59787615,270.088562011719
1,2377492.07891015,252.511642456055
1,2397329.99539847,241.497039794922
1,2408722.67615241,246.925247192383
1,2416986.5548946,249.33528137207
0,2383720.56712002,251.249313354492
-1,2301018.0230398,245.540481567383
0,2301018.0230398,232.830139160156
1,2300879.96195842,247.862121582031
1,2329074.54565224,245.925491333008
1,2313445.05544114,260.913513183594
1,2348469.41382652,256.179656982422
-1,2374726.06009308,263.934143066406
1,2374583.57652947,268.901153564453
-1,2383627.15251691,269.090576171875
1,2383484.13488776,274.320251464844
-1,2391359.59100009,265.056854248047
1,2391216.10942463,269.407867431641
1,2431955.52070065,271.743103027344
1,2476095.86429083,295.115081787109
1,2469741.06826481,309.416687011719
0,2482763.99452706,307.722137451172
1,2519538.98180071,310.678619384766
-1,2621181.25603773,317.992584228516
-1,2621181.25603773,336.959899902344
-1,2621181.25603773,294.143035888672
1,2621023.98516237,311.284423828125
1,2572817.99751573,319.584045410156
1,2581787.51560422,290.268493652344
1,2573074.4336252,293.537261962891
1,2632163.17980289,291.764617919922
1,2523430.31461637,303.025085449219
1,2545812.13015753,284.380920410156
1,2542657.36418303,287.893829345703
1,2675391.14568373,287.603607177734
1,2732762.80830928,305.734771728516
1,2698545.88393428,313.325164794922
-1,2547373.32098383,308.851287841797
0,2547373.32098383,289.945983886719
-1,2547373.32098383,268.692260742187
-1,2547373.32098383,276.289123535156
0,2547373.32098383,269.281616210937
-1,2547373.32098383,227.965057373047
1,2547220.47858457,229.748657226562
1,2578539.60793579,199.066787719727
-1,2646158.11614805,211.444610595703
1,2645999.34666109,226.657699584961
-1,2664610.42629023,221.412658691406
-1,2664610.42629023,229.167694091797
1,2664450.54966465,225.698654174805
1,2652491.25029668,217.568466186523
-1,2671715.83077638,212.553817749023
0,2671715.83077638,216.969116210937
-1,2671715.83077638,219.628128051758
-1,2671715.83077638,219.617630004883
0,2671715.83077638,207.413772583008
1,2671555.52782654,211.123657226562
1,2669542.43751109,211.339202880859
-1,2706609.20326592,210.492416381836
0,2706609.20326592,218.554595947266
0,2706609.20326592,217.884460449219
-1,2706609.20326592,217.895553588867
1,2706446.80671373,222.580810546875
-1,2734505.62783005,222.65087890625
0,2734505.62783005,234.245590209961
0,2734505.62783005,225.92529296875
-1,2734505.62783005,226.518478393555
-1,2734505.62783005,220.908645629883
1,2734341.55749238,210.530166625977
-1,2759093.67175225,206.732238769531
0,2759093.67175225,216.055908203125
-1,2759093.67175225,211.342697143555
-1,2759093.67175225,208.603988647461
0,2759093.67175225,186.683502197266
0,2759093.67175225,188.644256591797
1,2758928.12613195,185.531661987305
-1,2785089.11639494,185.841094970703
-1,2785089.11639494,194.556030273438
-1,2785089.11639494,202.813140869141
-1,2785089.11639494,196.621688842773
-1,2785089.11639494,186.94123840332
-1,2785089.11639494,191.106872558594
0,2785089.11639494,194.671630859375
0,2785089.11639494,191.234786987305
-1,2785089.11639494,186.735549926758
-1,2785089.11639494,188.950057983398
-1,2785089.11639494,187.495498657227
-1,2785089.11639494,173.958694458008
0,2785089.11639494,169.489288330078
0,2785089.11639494,168.887893676758
-1,2785089.11639494,172.458404541016
-1,2785089.11639494,171.697601318359
-1,2785089.11639494,178.357757568359
-1,2785089.11639494,179.491989135742
0,2785089.11639494,175.966278076172
0,2785089.11639494,174.172225952148
-1,2785089.11639494,169.955276489258
-1,2785089.11639494,178.282592773438
-1,2785089.11639494,181.362487792969
0,2785089.11639494,181.212844848633
-1,2785089.11639494,179.839492797852
-1,2785089.11639494,178.803771972656
-1,2785089.11639494,180.9755859375
-1,2785089.11639494,181.321578979492
-1,2785089.11639494,188.068435668945
0,2785089.11639494,189.689331054688
0,2785089.11639494,197.114761352539
0,2785089.11639494,208.050598144531
0,2785089.11639494,211.24723815918
1,2784922.01104796,221.069625854492
1,2778317.45985313,217.897384643555
-1,2759969.0128253,215.486557006836
0,2759969.0128253,211.71321105957
-1,2759969.0128253,201.842086791992
-1,2759969.0128253,168.133575439453
1,2759803.41468453,170.756912231445
-1,2786228.18148398,166.651702880859
1,2786061.00779309,174.68083190918
1,2772941.39289159,174.612747192383
0,2827639.2458696,170.461349487305
0,2812938.08653005,180.209121704102
-1,2832192.17132226,177.224060058594
0,2832192.17132226,180.703704833984
-1,2832192.17132226,175.238433837891
-1,2832192.17132226,176.946319580078
-1,2832192.17132226,176.364379882813
-1,2832192.17132226,172.940338134766
-1,2832192.17132226,181.113357543945
-1,2832192.17132226,182.03630065918
-1,2832192.17132226,193.191070556641
-1,2832192.17132226,191.801071166992
-1,2832192.17132226,182.534027099609
1,2832022.23979198,180.861312866211
1,2847081.39703441,182.028472900391
1,2816237.00622337,186.97705078125
1,2775539.04063337,181.343734741211
0,2794521.88390438,175.906890869141
1,2753513.84791439,177.988555908203
1,2746010.93600185,173.649444580078
1,2776340.3954754,172.974761962891
1,2768678.61726173,175.524749755859
1,2734295.65585128,174.905059814453
0,2599723.11479986,172.262802124023
1,2595834.01452207,162.514114379883
0,2870119.55033736,162.189712524414
0,2846261.78553433,181.667068481445
1,2907755.93284068,179.932632446289
1,2884900.28544498,184.397506713867
0,2998849.77093233,182.670379638672
1,2914777.1648636,190.336395263672
1,2903933.46866033,184.797622680664
0,2904812.49738103,183.803695678711
1,2903303.56454395,184.018157958984
1,2880421.775286,183.994827270508
1,2940755.5018355,182.319030761719
1,2986278.39977531,186.309310913086
1,3021777.88966947,189.113494873047
1,2965494.84363392,191.504302978516
1,2906749.53668367,187.924270629883
1,2919527.7355959,184.311721801758
0,2990108.95883043,184.943359375
1,2926747.21473303,189.5029296875
0,2948865.37365197,185.564834594727
1,2970188.92206265,186.942443847656
1,2934706.27641462,188.272506713867
1,2848581.60925947,186.058166503906
1,2893925.37931871,180.499099731445
1,2921793.74447438,183.350830078125
1,2850038.51531072,185.041458129883
1,2801189.87397789,180.502456665039
1,2773536.66405056,177.415283203125
0,2549509.64434867,175.673599243164
0,2373340.25523482,161.505889892578
-1,2422181.61673287,150.212219238281
-1,2422181.61673287,153.430526733398
1,2422036.28583586,142.697006225586
-1,2430264.07362238,146.404312133789
0,2430264.07362238,148.396820068359
0,2430264.07362238,153.069244384766
0,2430264.07362238,151.768600463867
-1,2430264.07362238,155.286407470703
1,2430118.25777796,152.491928100586
-1,2423283.51185947,151.175476074219
0,2423283.51185947,149.058242797852
0,2423283.51185947,147.918380737305
-1,2423283.51185947,146.686492919922
0,2423283.51185947,149.396484375
-1,2423283.51185947,149.197601318359
-1,2423283.51185947,148.743682861328
-1,2423283.51185947,151.224395751953
-1,2423283.51185947,148.17985534668
-1,2423283.51185947,146.320648193359
-1,2423283.51185947,143.615661621094
0,2423283.51185947,145.655685424805
1,2423138.11484876,144.953414916992
-1,2423971.5522167,142.864990234375
-1,2423971.5522167,143.139526367188
1,2423826.11392357,133.647186279297
1,2465169.66144977,122.656837463379
1,2439184.02478972,133.052780151367
1,2436746.33139007,129.384368896484
1,2426225.56163405,129.095962524414
1,2480200.51461615,128.098129272461
1,2427784.22498172,132.306991577148
1,2434466.53195395,128.629257202148
1,2393446.7670415,129.068496704102
-1,2391919.01945828,126.486328125
-1,2391919.01945828,126.368797302246
0,2391919.01945828,127.213012695313
-1,2391919.01945828,128.266876220703
-1,2391919.01945828,134.796524047852
0,2391919.01945828,132.612274169922
1,2391775.50431712,129.630661010742
1,2379259.45752744,130.820037841797
1,2424192.98918222,127.411262512207
-1,2432218.30010748,134.168518066406
1,2432072.36700948,135.07209777832
0,2460872.23031282,136.305541992188
-1,2458005.09492013,144.311996459961
1,2457857.61461443,143.487823486328
1,2449810.96448715,141.155776977539
1,2481159.51319586,138.967041015625
1,2472279.76035369,143.409103393555
1,2502434.14482319,143.03254699707
1,2483221.83322589,146.220138549805
1,2760222.06969133,144.251052856445
1,2763915.29687135,165.734619140625
1,2737866.15272076,166.332824707031
-1,2831449.84152179,164.489379882813
1,2831279.9545313,170.74772644043
1,2804040.41180787,175.467590332031
1,2804826.73662962,166.90412902832
1,2825632.90719002,167.060470581055
1,2811790.45162581,169.608535766602
1,2751669.18453956,168.295700073242
1,2753136.93539452,162.899368286133
1,2729697.15112905,163.067291259766
1,2824633.30386161,161.176818847656
1,2866117.54171458,168.008850097656
1,2947631.1167841,170.884857177734
1,2927376.38087462,176.347885131836
1,3077861.82550669,174.917709350586
1,3006173.3170845,184.736907958984
1,3062368.4018146,180.11376953125
1,3142104.78543455,183.532501220703
1,3162354.95009902,188.607406616211
1,3152322.95566843,189.861724853516
1,3397796.60479912,189.299102783203
1,3531081.50407799,204.129699707031
1,3702212.38483124,212.315887451172
1,3709150.4492344,222.510971069336
0,3800067.41755,222.982238769531
1,3715367.02291386,228.549133300781
1,3919366.82677458,223.38493347168
